identifier,ip,start,stop,pid,sim_self_overall,sim_other_overall,dissim_self_overall,dissim_other_overall,sim_self_careerstage,sim_self_position,sim_self_division,sim_self_industry,sim_self_sociocultural,sim_other_careerstage,sim_other_position,sim_other_division,sim_other_industry,sim_other_sociocultural,dissim_self_careerstage,dissim_self_position,dissim_self_division,dissim_self_industry,dissim_self_sociocultural,dissim_other_careerstage,dissim_other_position,dissim_other_division,dissim_other_industry,dissim_other_sociocultural,expectation_similar,likely_convo,age,sex,country,usa_race,white,black_afam,am_ind_native,asian,pac_is,other,race_6_text,hisp_lat,background,mom,dad,language,language_text,proficiency,survey_trouble,employment,job_level,job level_TEXT,joblevel_split
R_1NeIF4gn62rhSPF,92.104.59.106,12/7/20 14:46,12/7/20 14:51,99,5,5,5,5,3,3,5,4,3,5,4,5,4,4,4,5,4,5,4,5,5,5,5,5,4,9,36,1,169,,,,,,,,,,169,169,84,2,,6,1,1,1,,0
R_1E0gbFcDVcsvnXh,144.2.113.41,12/9/20 1:38,12/9/20 1:42,100,7,6,7,6,7,7,7,7,7,6,6,6,6,6,7,7,7,7,7,6,6,6,6,6,6,11,27,2,169,,,,,,,,,,169,169,169,2,,7,1,1,5,,2
R_1IE53IqyJLqTFrM,165.225.0.73,12/7/20 6:40,12/7/20 6:52,101,7,6,6,5,6,6,7,7,5,4,4,6,5,4,6,6,6,6,7,4,4,5,5,4,4,11,51,1,187,1,1,,,,,,,,187,,,1,,7,2,1,3,,1
R_7UMMk1te7061hW9,168.224.160.22,12/7/20 7:21,12/7/20 7:26,102,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,11,38,1,169,,,,,,,,,,169,65,169,2,,5,1,1,4,,2
R_DFPXQtDEaOHBANX,148.168.216.31,12/9/20 14:51,12/9/20 15:05,103,7,7,7,6,7,7,7,6,6,6,6,6,6,6,7,7,7,7,7,7,7,7,7,7,5,10,52,2,187,1,1,,,,,,,,187,,,1,,7,1,1,3,,1
R_3CBYm9ewsYClvs1,204.114.196.23,12/8/20 4:24,12/8/20 4:29,104,7,7,7,6,7,7,7,7,7,7,7,7,7,7,5,5,5,7,5,5,5,5,6,5,6,10,50,2,9,,,,,,,,,,9,75,75,6,Chinese,7,1,1,3,,1
R_3Eawg6qZm6nnSof,165.225.194.161,12/7/20 6:55,12/7/20 8:20,105,5,5,7,6,4,4,6,6,5,4,4,5,6,5,6,5,6,7,6,5,5,6,6,5,5,9,43,1,67,,,,,,,,,,65,65,65,2,,5,1,1,4,,2
R_20MNX926rUQWGj3,103.10.28.169,12/9/20 4:08,12/9/20 4:17,106,5,5,6,6,5,5,4,4,5,5,4,4,5,4,5,4,5,5,4,6,5,5,6,6,5,8,57,1,121,,,,,,,,,,121,121,121,6,Nepali,6,1,1,2,,0
R_1M6cpHekVZtX15U,80.145.230.125,12/7/20 6:46,12/7/20 6:50,107,7,7,7,7,7,7,7,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,10,50,2,65,,,,,,,,,,65,65,65,2,,6,1,1,2,,0
R_22spiqc8yJadoDf,194.113.41.2,12/7/20 6:53,12/7/20 7:59,108,7,6,5,5,5,6,7,7,4,4,6,7,6,4,2,4,2,2,4,2,2,2,2,2,4,10,55,1,65,,,,,,,,,,65,65,65,2,,5,1,1,3,,1
R_1rOM4i6iPcBbq0E,212.182.157.39,12/10/20 2:19,12/10/20 2:24,109,5,5,6,6,5,5,6,6,5,5,5,5,5,5,6,6,6,6,6,5,5,5,5,5,5,11,55,1,122,,,,,,,,,,65,65,65,2,,6,1,1,2,,0
R_2Ebi202ero9CcYp,195.200.34.51,12/7/20 6:43,12/7/20 6:50,110,7,7,7,7,7,7,6,7,7,7,6,7,7,7,7,6,5,5,5,7,6,5,4,4,5,11,44,1,65,,,,,,,,,,65,65,65,2,,7,1,1,3,,1
R_1oA7yRwz5FzVem2,178.198.24.134,12/8/20 23:39,12/8/20 23:43,111,7,6,5,4,6,5,5,4,7,6,5,4,4,7,6,4,5,4,4,6,4,5,4,5,5,11,30,1,169,,,,,,,,,,169,169,169,2,,4,2,1,4,,2
R_3DjRoJemixc9Wxq,83.78.117.163,12/11/20 5:55,12/11/20 5:59,112,4,4,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,8,1,3,,,,,,,,,,,1,1,1,6,Bärndütsch,1,3,6,6,,
R_20YfOUFRgDLwBod,87.123.197.38,12/7/20 6:56,12/7/20 7:02,113,7,6,7,5,7,7,7,7,7,6,6,6,6,6,7,7,7,7,7,6,6,6,6,6,2,10,30,1,65,,,,,,,,,,65,65,65,2,,6,1,1,5,,2
R_3nkm7upHKikcsy0,79.255.22.124,12/8/20 2:27,12/8/20 2:34,114,7,7,7,7,7,7,7,7,7,6,6,6,6,6,7,5,7,7,7,6,5,6,7,7,3,10,36,2,65,,,,,,,,,,65,65,65,2,,5,1,1,4,,2
R_tFmEPGkjWKO1LKV,104.129.194.66,12/7/20 9:06,12/7/20 9:13,115,5,5,5,5,5,6,6,5,5,5,6,6,5,5,5,5,5,5,5,5,5,5,5,5,5,10,53,1,187,1,1,,,,,,,,187,,,1,,7,1,1,3,,1
R_1ifcPfP4YoRqJcf,185.39.104.66,12/7/20 7:08,12/7/20 7:15,116,7,6,7,6,7,7,7,7,7,6,6,6,6,6,7,7,7,7,7,6,6,6,6,6,4,11,58,2,65,,,,,,,,,,65,65,65,2,,5,1,1,5,,2
R_1H6qYNInbv2Kxu8,84.226.83.120,12/8/20 7:26,12/8/20 7:30,117,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,11,26,1,169,,,,,,,,,,9,100,16,1,,7,1,1,5,,2
R_1esMuyvF7xorwJl,141.2.153.238,12/7/20 6:49,12/7/20 6:55,118,7,6,6,6,3,3,5,5,6,3,3,4,3,7,7,7,7,7,7,5,5,6,6,6,4,11,48,2,65,,,,,,,,,,142,142,65,6,Romanian,6,1,1,6,Administration Clerk,
R_126fyS3JQEDy7cl,82.76.120.6,12/7/20 7:21,12/7/20 7:30,119,4,5,7,7,5,5,4,6,7,5,6,5,6,7,7,7,7,6,6,7,7,7,6,6,5,10,26,2,142,,,,,,,,,,143,143,143,6,Russian,7,1,1,4,,2
R_3k6tiBq3oisdnN6,193.104.164.123,1/4/21 6:37,1/4/21 6:43,120,7,5,7,5,7,7,7,7,7,6,6,6,6,6,7,7,7,7,7,6,6,6,6,6,5,10,34,2,17,,,,,,,,,,142,142,142,6,Romanian,7,1,1,3,,1
R_1duya9l6pBNhZtG,193.104.164.123,12/17/20 2:04,12/17/20 2:13,121,7,6,7,6,7,7,7,7,7,6,6,6,6,6,6,6,6,6,6,5,5,5,5,5,7,8,38,2,84,,,,,,,,,,84,84,84,4,,,1,1,4,,2
R_3hi4ARBUs4HRQNm,194.56.48.112,12/7/20 22:54,12/7/20 23:08,122,6,4,5,4,4,4,4,5,5,4,4,4,4,4,4,3,5,5,5,3,2,4,4,4,3,8,51,2,169,,,,,,,,,,169,185,185,2,,5,1,1,5,,2
R_pKtyatORLU6WSjL,192.76.8.70,12/7/20 7:00,12/7/20 7:04,123,7,7,7,7,7,7,7,7,2,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,4,11,30,2,185,,,,,,,,,,187,187,187,1,,7,1,6,6,Student,
R_2bO8emDvGUMsc6J,91.64.117.172,12/7/20 9:08,12/7/20 9:14,124,6,5,5,4,5,5,5,5,5,5,5,5,5,5,3,5,5,5,5,3,5,5,5,5,4,7,35,2,65,,,,,,,,,,187,187,187,1,,7,1,1,4,,2
R_1jp8AXNUyLEf718,165.225.26.246,12/7/20 9:37,12/7/20 9:42,125,6,6,7,6,7,7,7,7,7,6,6,6,6,6,7,6,7,5,7,6,6,5,5,7,5,11,59,2,65,,,,,,,,,,65,65,65,2,,4,1,1,3,,1
R_3EcM9wRpJFEfGm2,165.225.27.101,12/9/20 4:13,12/9/20 4:21,126,5,4,7,6,2,3,1,2,5,2,1,1,2,2,5,7,7,7,7,7,7,7,7,7,3,3,42,1,65,,,,,,,,,,80,80,80,6,persisch,6,1,1,3,,1
R_2Si7WVZnVbJLXca,192.36.28.75,12/7/20 8:09,12/7/20 8:14,127,7,7,7,5,7,7,7,7,7,5,5,5,5,5,7,7,7,7,7,5,5,5,5,5,5,11,43,2,168,,,,,,,,,,168,168,168,6,Swedish,6,1,1,3,,1
R_2OGv4D7UUDFcmsS,165.225.34.60,12/7/20 7:28,12/7/20 7:33,128,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,1,11,44,2,187,3,,,,,,,,1,37,,,5,,7,1,1,4,,2
R_2wcon0S7yY1mgJR,94.190.203.178,12/8/20 1:17,12/8/20 1:22,129,6,6,4,4,4,5,6,6,5,4,5,6,6,5,5,5,6,4,5,5,5,6,6,5,5,11,36,2,122,,,,,,,,,,122,122,122,6,dutch,6,1,1,3,,1
R_240EfCDRWRBKIjR,134.19.32.2,12/8/20 2:45,12/8/20 2:51,130,7,7,7,7,7,7,7,7,7,7,7,7,7,7,5,5,5,5,5,5,5,5,5,5,5,11,60,2,65,,,,,,,,,,65,65,122,2,,6,1,1,1,,0
R_xf0mgNV7e2hzEWd,79.31.77.5,12/9/20 1:37,12/9/20 1:42,131,7,7,7,7,6,6,6,6,6,6,6,6,6,6,7,7,7,7,7,6,6,6,6,6,4,7,35,2,169,,,,,,,,,,84,84,84,4,,6,1,1,4,,2
R_3NRhnrf8u4vkgnh,168.224.160.23,12/7/20 7:00,12/7/20 7:03,132,6,5,6,5,6,6,5,6,4,4,4,4,4,4,6,6,6,6,6,4,4,4,4,4,4,10,32,2,45,,,,,,,,,,45,45,45,6,Czech,7,1,1,4,,2
R_1KuOiE9m5phRdHl,168.224.160.23,12/7/20 7:06,12/7/20 7:10,133,6,5,6,5,2,2,2,2,2,3,3,3,3,3,5,5,5,5,5,4,4,4,4,4,4,9,36,2,17,,,,,,,,,,158,158,158,6,Slovenian,5,1,1,4,,2
R_2y7cDjLxBcAufOp,168.224.160.21,12/7/20 7:47,12/7/20 8:58,134,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,6,3,3,6,5,3,3,3,4,5,10,31,2,169,,,,,,,,,,67,67,67,6,greek,7,1,1,6,Lead without direct reports,
R_3gLuwNQqj7aNiQh,195.81.84.68,12/7/20 7:05,12/7/20 7:10,135,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,4,11,54,1,65,,,,,,,,,,65,65,65,2,,6,1,1,3,,1
R_3NQeJlsJ05xxTzC,84.60.210.159,12/7/20 12:32,12/7/20 13:02,136,7,3,7,3,4,4,4,4,4,3,4,3,3,4,5,5,5,5,2,5,5,5,5,5,4,7,50,1,65,,,,,,,,,,65,65,65,2,,7,1,1,6,Senior Trainer / Instructor,
R_1gSymsgfeDO5ikA,171.18.25.198,12/8/20 0:13,12/8/20 0:19,137,6,5,6,5,5,5,5,6,4,5,5,5,6,4,6,6,5,5,6,5,5,5,5,4,5,9,33,2,65,,,,,,,,,,65,65,65,2,,3,2,1,5,,2
R_1rrKDJhGcADrbpr,88.209.32.97,12/7/20 6:53,12/7/20 7:11,138,5,6,6,4,4,5,5,5,5,5,5,4,5,5,5,6,6,4,5,2,4,5,5,4,5,10,20,1,65,,,,,,,,,,65,65,65,2,,6,1,6,6,Student,
R_2pQcspHiAlDBZNR,91.192.15.73,12/16/20 1:30,12/16/20 1:34,139,5,5,6,6,6,5,5,6,6,6,5,6,6,5,6,6,6,4,5,5,5,6,4,4,5,11,28,1,65,,,,,,,,,,65,65,65,2,,7,1,1,5,,2
R_22EvEO7Z5sA9Guv,168.224.160.21,12/16/20 1:01,12/16/20 1:06,140,6,6,6,4,6,7,5,4,4,5,6,6,5,4,6,6,4,4,4,6,6,5,5,4,3,11,41,1,169,,,,,,,,,,65,65,65,2,,6,1,1,4,,2
R_2OSztgWKlgdf70I,194.53.167.7,12/7/20 6:27,12/7/20 6:35,141,5,3,5,3,7,6,6,6,7,4,4,7,6,7,7,7,7,7,7,5,5,7,7,7,4,11,40,2,122,,,,,,,,,,122,145,145,1,,6,1,1,4,,2
R_1o5XhNBOAQfyQzd,168.224.160.21,12/7/20 6:54,12/7/20 6:58,142,7,7,7,7,7,7,4,6,4,7,7,4,4,5,7,7,7,7,7,7,7,7,7,7,6,11,45,2,84,,,,,,,,,,84,84,,4,,7,1,1,2,,0
R_d1257h6tsJLR39f,62.202.191.72,12/7/20 6:29,12/7/20 6:32,143,5,5,4,6,6,6,6,6,6,6,6,6,6,6,5,5,3,3,5,5,5,5,5,5,4,8,33,2,169,,,,,,,,,,84,84,84,4,,7,1,1,4,,2
R_1NfbJwdnGh6ztey,193.177.237.18,12/7/20 6:53,12/7/20 6:58,144,6,6,6,6,4,4,4,4,4,4,4,4,4,4,6,6,6,6,6,6,6,6,6,6,2,10,58,1,122,,,,,,,,,,122,122,122,6,dutch,6,1,1,1,,0
R_1LIstK2l1VmKri4,165.225.27.96,12/7/20 7:13,12/7/20 7:19,145,4,5,6,4,6,6,7,7,5,5,5,6,6,4,7,7,7,7,7,7,7,7,7,7,5,11,24,2,65,,,,,,,,,,65,65,65,2,,6,1,1,5,,2
R_2CIFW6ZJFDxWXqS,91.192.15.73,12/10/20 4:58,12/10/20 5:03,146,5,5,6,6,5,6,5,6,6,6,6,6,5,6,6,5,6,6,6,6,6,6,5,6,3,10,53,1,65,,,,,,,,,,44,122,122,6,Dutch,7,1,1,3,,1
R_2fDuNx9PZDtQNgA,165.225.217.73,12/7/20 7:03,12/7/20 8:32,147,5,4,5,4,5,5,5,5,5,4,4,4,4,4,6,6,6,6,6,4,4,4,4,4,4,8,40,1,187,2,,,,1,,,,,78,,,6,Tamil,7,1,1,3,,1
R_3HXlUUmMcoVal3D,145.81.233.162,12/10/20 1:00,12/10/20 1:06,148,5,5,6,5,7,6,6,6,7,7,6,6,6,7,6,6,6,6,6,6,6,6,6,6,6,11,46,1,122,,,,,,,,,,122,122,122,6,dutch,5,1,1,3,,1
R_3pclFzwhjsBdMxU,165.225.214.129,12/7/20 6:51,12/7/20 10:35,149,7,5,6,6,6,6,6,6,6,6,6,6,6,6,5,5,5,5,5,5,5,5,5,5,5,11,21,2,24,,,,,,,,,,24,24,24,6,Portuguese,7,1,1,5,,2
R_1Lbp5rtsZbHEt6b,194.53.167.6,12/8/20 1:46,12/8/20 1:54,150,7,7,7,7,7,7,7,7,7,6,6,6,6,6,7,7,7,7,7,6,6,6,6,6,6,10,54,1,122,,,,,,,,,,166,166,166,6,Dutch,6,2,1,6,Engineer,
R_eDLP4pBmzA1ONot,193.28.61.1,12/8/20 2:30,12/8/20 2:38,151,5,4,6,5,5,5,6,6,5,5,5,5,5,5,5,5,6,6,6,4,5,4,5,5,4,8,55,1,65,,,,,,,,,,65,65,65,2,,5,1,1,3,,1
R_31GgFc1I8BHofbm,91.192.15.66,12/7/20 6:55,12/7/20 6:58,152,6,6,6,4,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,11,25,2,185,,,,,,,,,,185,179,179,6,turkish,7,1,1,5,,2
R_3gOhhyVCYKcsZ9y,165.225.114.218,12/7/20 19:58,12/7/20 20:07,153,7,6,7,6,6,6,7,6,6,6,6,6,6,6,6,7,6,6,6,6,6,6,6,6,5,6,43,1,9,,,,,,,,,,78,78,78,6,Punjabi & Hindi,5,1,1,3,,1
R_3HUEusiq4tTdEH3,141.2.155.170,12/14/20 4:14,12/14/20 6:26,154,5,5,5,5,6,4,6,6,6,4,4,5,5,5,7,7,7,6,5,2,2,3,3,3,6,10,36,2,65,,,,,,,,,,65,10,65,2,,5,1,1,4,,2
R_2QPZlahOzy4CcE5,31.165.251.225,12/7/20 23:42,12/7/20 23:49,155,7,6,7,5,7,7,7,7,7,5,5,5,5,5,7,7,7,7,7,5,5,6,4,5,5,11,42,2,169,,,,,,,,,,65,65,65,2,,7,1,1,3,,1
R_3FWK1abxcLKXBbj,95.91.251.250,12/7/20 9:52,12/7/20 9:57,156,5,4,5,4,5,5,5,5,6,5,5,5,5,6,5,5,5,5,6,5,5,5,5,6,2,11,47,1,65,,,,,,,,,,161,161,161,6,Afrikaans,7,1,1,4,,2
R_8vNaTRtKKUGB85z,155.140.133.249,12/7/20 7:06,12/7/20 7:17,157,5,5,7,7,5,6,5,4,5,5,5,3,3,5,6,3,5,3,5,3,3,4,3,4,4,10,31,1,65,,,,,,,,,,65,65,191,6,German and Spanish,6,1,1,4,,2
R_3fvfvo78X5ALy8S,91.192.15.66,12/7/20 7:46,12/7/20 7:56,158,7,6,6,6,4,4,5,7,7,3,5,5,6,6,5,2,5,5,4,4,5,5,6,6,6,10,59,1,65,,,,,,,,,,65,65,65,2,,5,1,1,4,,2
R_bOzERkuPVbCkP6h,156.106.202.73,12/7/20 10:04,12/7/20 10:14,159,5,4,6,4,4,5,6,6,3,4,4,4,4,4,5,4,6,4,4,4,4,4,4,4,4,10,55,2,169,,,,,,,,,,31,31,31,1,,7,1,1,3,,1
R_2YbNFn0gacAMe0P,148.168.216.32,12/7/20 7:56,12/7/20 8:11,160,7,7,7,7,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,9,38,2,187,1,1,,,,,,,,187,,,1,,7,1,1,4,,2
R_3qdEYWatt3d3E07,84.227.89.64,12/14/20 7:24,12/14/20 7:53,161,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,5,10,44,1,169,,,,,,,,,,65,65,65,2,,7,1,1,3,,1
R_3KOaFjbXYt81oNp,192.36.28.75,12/8/20 2:38,12/8/20 15:03,162,3,3,6,6,3,5,4,3,3,4,5,4,3,3,3,3,5,4,3,3,3,5,3,3,4,10,52,1,168,,,,,,,,,,168,168,168,6,Swedish,6,1,1,4,,2
R_0ie5PX7Llm7YNgZ,168.224.160.22,12/7/20 6:43,12/7/20 6:47,163,6,6,7,7,6,4,5,5,7,5,5,5,5,7,6,6,5,4,7,6,6,6,6,6,4,9,40,2,17,,,,,,,,,,179,179,179,6,turkish,6,1,1,4,,2
R_3FKJmJvNXnF5Wv9,122.163.64.223,12/7/20 9:50,12/7/20 9:58,164,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,7,49,1,78,,,,,,,,,,78,78,78,6,Bengali,6,1,1,3,,1
R_2SjLizZI9RTnxAa,88.130.230.195,12/7/20 8:56,12/7/20 9:22,165,5,5,6,5,6,5,6,5,4,5,4,4,5,4,6,7,6,5,6,5,5,4,4,5,4,11,33,2,65,,,,,,,,,,65,65,65,2,,6,1,1,3,,1
R_1goJeCzMYh93mha,212.60.253.212,12/7/20 6:49,12/7/20 6:57,166,7,7,7,7,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,4,9,53,2,65,,,,,,,,,,65,65,65,2,,6,1,1,6,Customer Services/Sales Support,
R_1d7fj8GtpSHyhbg,185.39.104.66,12/7/20 9:26,12/7/20 9:34,167,5,4,6,5,6,5,2,3,4,5,4,2,3,4,3,5,6,6,4,5,5,4,3,4,4,11,29,2,65,,,,,,,,,,65,65,65,2,,5,1,1,4,,2
R_Zn3hOONqefJN0PL,91.192.15.66,12/11/20 9:59,12/11/20 10:17,168,6,5,6,5,6,6,6,6,6,5,5,5,5,5,6,6,6,6,6,5,5,5,5,5,5,10,25,2,65,,,,,,,,,,122,122,122,6,Dutch,7,1,1,5,,2
R_2ysmzuePGtnWGmC,62.245.183.149,12/8/20 23:51,12/9/20 0:03,169,6,4,7,7,5,5,5,5,7,5,5,5,5,6,5,5,5,3,6,4,4,6,6,6,3,11,36,2,65,,,,,,,,,,65,65,61,2,,1,2,1,4,,2
R_269Wh1NXlqEMHq5,165.225.194.81,12/15/20 9:04,12/15/20 9:08,170,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,6,30,2,65,,,,,,,,,,187,157,157,1,,7,1,1,3,,1
R_Cf62Sb0TTO7vB1D,194.53.167.7,12/7/20 7:49,12/7/20 7:54,171,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,10,40,1,122,,,,,,,,,,122,122,122,6,Dutch,7,1,1,2,,0
R_3Oqp1s5Bz07oIkC,83.82.199.232,12/11/20 10:32,12/11/20 10:39,172,3,4,6,4,7,7,1,4,4,7,7,1,4,4,1,5,7,4,7,4,4,4,4,4,3,11,49,1,122,,,,,,,,,,122,122,122,6,Dutch,7,1,1,1,,0
R_29anECKN7pIuoxe,193.28.61.1,12/7/20 7:09,12/7/20 7:13,173,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,54,1,65,,,,,,,,,,61,61,61,3,,5,1,1,6,,
R_1OUYg65rYtJteM6,194.6.249.28,12/7/20 8:43,12/7/20 8:55,174,6,6,4,4,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,4,8,36,1,65,,,,,,,,,,24,24,24,6,Portuguese,5,1,1,3,,1
R_2WHe1FJr6x0DLA6,165.225.8.113,12/14/20 14:19,12/14/20 14:34,175,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,11,43,1,187,1,1,,,,,,,,187,,,1,,7,1,1,2,,0
R_2q3MiyMIFjavDvO,144.178.80.78,12/7/20 7:56,12/7/20 8:05,176,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,4,8,55,1,122,,,,,,,,,,122,122,122,6,Dutch,6,1,1,3,,1
R_3KqHPAVDpe6GHyG,70.23.65.87,12/7/20 7:28,12/7/20 7:34,177,6,6,6,6,5,7,7,6,2,5,6,6,5,2,4,4,5,2,3,4,5,4,5,3,4,9,42,2,187,1,1,,,,,,,,187,,,1,,7,1,1,3,,1
R_27pTyS6GcZmSPW1,165.225.50.55,12/7/20 9:07,12/7/20 9:29,178,4,4,6,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,4,7,42,1,187,1,1,,,,,,,,187,,,1,,7,1,1,4,,2
R_2c87FJcVTh6Nk4s,72.189.244.125,12/7/20 13:14,12/7/20 13:21,179,6,6,5,4,6,4,5,4,6,6,4,5,4,6,4,4,4,4,3,4,4,4,4,3,4,6,40,1,187,1,1,,,,,,,,187,,,1,,7,1,1,4,,2
R_26m9gvfTRVxgOKn,109.109.105.58,12/7/20 6:55,12/7/20 9:53,180,4,3,6,5,5,6,5,4,5,5,5,4,3,5,6,4,5,3,7,6,4,4,3,7,3,8,32,1,122,,,,,,,,,,122,122,122,6,Nederlands,5,2,1,4,,2
R_ZwS8zj7tTSZXwTD,46.94.89.142,12/7/20 8:03,12/7/20 9:27,181,6,4,5,5,3,6,5,5,7,5,5,6,5,7,5,6,4,4,5,5,4,4,5,5,5,10,30,2,65,,,,,,,,,,65,187,66,2,,6,1,1,4,,2
R_1CEJw3r2H931jxp,51.145.125.27,12/7/20 6:54,12/7/20 7:01,182,5,4,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,11,30,2,185,,,,,,,,,,185,185,185,1,,7,1,1,4,,2
R_3MDOKBiBlZPRHhQ,103.244.240.84,12/15/20 11:22,12/15/20 11:26,183,7,6,7,6,6,7,6,6,6,6,7,6,6,6,6,6,6,6,6,6,6,6,6,6,6,9,34,1,78,,,,,,,,,,78,78,78,1,,6,1,1,4,,2
R_BKzkS5wY9CGvRqF,190.16.200.243,12/7/20 7:17,12/7/20 7:24,184,6,6,6,6,5,6,6,7,7,6,6,6,7,7,6,6,6,6,6,6,6,6,6,6,4,8,53,1,7,,,,,,,,,,7,84,84,5,,7,1,1,1,,0
R_1hF2pW8WpfiPZwY,165.225.56.62,12/7/20 8:12,12/7/20 8:26,185,7,7,7,4,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,4,4,4,4,4,6,11,55,2,187,1,1,,,,,,,,187,,,1,,7,1,1,4,,2
R_1otLX4yCCyg6tQn,104.129.205.42,12/7/20 7:55,12/7/20 8:00,186,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,11,39,1,187,1,1,,,,,,,,187,,,1,,7,1,1,3,,1
R_1iea7FkazAP4ElB,194.53.167.6,12/8/20 5:34,12/8/20 5:38,187,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,11,47,1,122,,,,,,,,,,122,122,122,6,Dutch,6,1,1,4,,2
R_TjXDVCtorqUQFih,194.71.254.230,12/9/20 6:37,12/9/20 6:43,188,6,6,6,6,6,7,6,6,6,6,6,6,6,6,5,5,5,3,6,5,5,5,2,6,5,10,38,2,168,,,,,,,,,,168,168,168,6,Swedish,7,1,1,3,,1
R_31yeoQBbiMinlnL,84.26.222.136,12/8/20 1:55,12/8/20 2:14,189,6,6,5,5,4,6,5,5,5,4,6,5,5,5,3,3,2,2,3,3,2,2,2,2,2,6,56,1,122,,,,,,,,,,122,122,122,6,Dutch,5,1,1,3,,1
R_3MEAbqhblsUMM0q,165.225.27.98,12/11/20 5:11,12/11/20 5:16,190,6,6,5,4,6,6,6,5,4,6,6,6,6,5,6,6,5,4,5,4,4,4,5,4,5,11,26,1,65,,,,,,,,,,65,65,65,2,,6,1,1,5,,2
R_RUquRT6fMFixOlr,193.175.170.67,12/8/20 3:14,12/8/20 3:22,191,4,3,6,2,2,4,2,5,5,2,3,4,4,3,7,4,6,6,6,3,4,3,5,3,3,10,31,1,65,,,,,,,,,,65,65,65,2,,6,1,1,4,,2
R_byc9FyLMnOzBLpv,206.201.1.148,12/9/20 22:29,12/9/20 23:11,192,6,6,5,5,6,6,6,6,6,6,6,6,6,6,4,4,4,4,4,4,4,4,4,4,6,10,65,1,136,,,,,,,,,,136,136,136,6,tagalog,7,1,1,6,consultant/ adviser,
R_2qghqrs5UlaPOla,195.200.34.51,12/7/20 7:48,12/7/20 7:54,193,6,6,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,2,11,54,1,65,,,,,,,,,,65,65,65,2,,4,1,1,1,,0
R_2rIXuvA2uJVkrmL,147.161.165.19,12/7/20 7:04,12/7/20 7:14,194,6,6,6,6,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,11,44,1,65,,,,,,,,,,65,65,65,2,,7,1,1,3,,1
R_5jsSeSTqgZUB0YN,109.235.136.244,12/16/20 2:02,12/16/20 2:05,195,6,6,6,6,6,6,6,6,6,6,6,6,6,6,3,5,7,6,6,3,4,6,7,6,7,11,30,2,65,,,,,,,,,,65,65,65,2,,7,1,1,4,,2
R_11csRkuCkLPmRTi,165.225.27.72,12/7/20 23:42,12/7/20 23:50,196,7,5,7,5,5,6,6,6,7,6,6,6,6,5,6,5,6,6,7,4,4,5,4,4,4,11,31,2,65,,,,,,,,,,65,61,65,2,,6,1,1,5,,2
R_0VNMQPM7epXZqi5,78.48.175.51,12/7/20 7:05,12/7/20 7:15,197,6,6,7,7,6,6,6,6,6,6,6,6,6,6,7,7,7,7,7,6,6,6,6,6,5,10,49,2,65,,,,,,,,,,61,61,61,3,,4,1,1,3,,1
R_2v85vtKJTEHq7wT,192.36.28.75,12/10/20 2:42,12/10/20 2:50,198,5,5,5,4,3,4,5,3,3,3,3,4,3,3,4,3,4,3,4,3,3,3,3,3,4,10,48,2,168,,,,,,,,,,168,168,168,6,Swedish,4,1,1,3,,1
